establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code
100788,V18161,"Americold Logistics, LLC",,6403 S. Ball Street ,Johnson,AR,72741,(479) 521-1400,2019-07-15,Certification - Export; Identification - Meat; Identification - Poultry,,35,3512,N / A,36.125892254583,-94.169683472332,Washington County,05143
4000,M10624,Arkansas Department of Corrections,,Hwy 388 and 65 South Cummins Unit USDA Cold Storage,Grady,AR,71644,(870) 850-8751,2021-03-30,Meat Processing; Meat Slaughter,,35,3514,Small,34.05226842,-91.58397651,Lincoln County,05079
123022,V19713,Arkansas Refrigerated Services,,24/25 North D Street ,Fort Smith,AR,72901,(479) 783-1006,2011-12-14,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3505,N / A,35.393033123293,-94.426691482974,Sebastian County,05131
123023,V18801,Arkansas Refrigerated Services,,"11 North ""B"" Street ",Fort Smith,AR,72902,(479) 783-1006,2013-12-23,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3505,N / A,35.392512534949,-94.4291275765,Sebastian County,05131
126548,M46910+P46910+V46910,B & R Meat Processing,,633 N. Devils Den Rd. ,Winslow,AR,72959,(479) 634-2211,2021-07-12,Identification - Meat; Meat Processing; Meat Slaughter; Poultry Processing; Poultry Slaughter; Voluntary Processing - Meat; Voluntary Slaughter - Meat,,35,3505,Very Small,35.809418664225,-94.143153826773,Washington County,05143
3848,M165+P165+V165,Bachoco OK Foods,035499086,4201 Reed Lane ,Fort Smith,AR,72904,(800) 643-2506,2021-03-24,Certification - Export; Meat Processing; Poultry Processing,Bachoco; Bachoco USA,35,3505,Large,35.423125950403,-94.385138097249,Sebastian County,05131
3850,P165S+V165S,Bachoco OK Foods,035499086,3921 Reed Lane ,Fort Smith,AR,72904,(800) 643-2506,2021-03-24,Certification - Export; Poultry Processing; Poultry Slaughter,Bachoco; Bachoco USA,35,3505,Large,35.423560182296,-94.385296364494,Sebastian County,05131
4087,M19575+P19575,"Boar's Head Provisions Co., Inc.",,2530 West Broadway ,Forrest City,AR,72335,(870) 630-1638,2017-09-01,Meat Processing; Poultry Processing,,35,3502,Small,34.996079599949,-90.813770522742,St. Francis County,05123
3854,P511,"Butterball, LLC",122262280,307 Dodgen Place ,Ozark,AR,72949,(479) 667-8501,2021-02-26,Poultry Processing; Poultry Slaughter,Carolina Turkey,35,3505,Large,35.485075682162,-93.818067076531,Franklin County,05047
3886,P7174,"Butterball, LLC",122262280,1294 N. College St. ,Huntsville,AR,72740,(479) 957-6461,2021-02-26,Poultry Processing; Poultry Slaughter,Carolina Turkey,35,3512,Large,36.101926004562,-93.737846982543,Madison County,05087
3842,M13289+P963,Cargill Meat Solutions,071374854,730 E. Randall Wobbe Lane ,Springdale,AR,72764,(479) 756-4600,2019-04-02,Poultry Processing; Poultry Slaughter,Cargill Meat Solutions Corp.,35,3512,Large,36.203801080679,-94.122285821532,Washington County,05143
6168992,V3677,"Central Cold Solutions, LLC DBA Central Cold",,1300 Mayor Lane ,Conway,AR,72032,(501) 358-3585,2025-07-25,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3520,N / A,35.058444902307,-92.401969913445,Faulkner County,05045
6167482,V2143,"Compass Cold Storage, LLC",,507 Industrial Park Road ,Mulberry,AR,72947,(479) 297-2078,2023-07-18,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3505,N / A,35.502036933362,-94.108313960891,Crawford County,05033
3832,M4L+P138+V138,"Conagra Brands (ConAgra Foods Packaged Foods, LLC)",828688189,1100 West 15th Street ,Fayetteville,AR,72701,(479) 443-3451,2021-06-21,Certification - Export; Food Inspection; Meat Processing; Poultry Processing,,35,3512,Large,36.04973776082,-94.178023717449,Washington County,05143
3836,M233+P115+V233,"Conagra Brands (Conagra Foods Packaged Foods, LLC)",828688189,3100 E Main Street ,Russellville,AR,72802,(479) 498-7500,2020-12-15,Certification - Export; Meat Processing; Poultry Processing,,35,3520,Large,35.275751648134,-93.094617805022,Pope County,05115
6164240,V46497,Conagra Foods Packaged Foods LLC,,1100 W. 15th Street ,Fayetteville,AR,72702,(479) 443-3451,2019-07-19,Certification - Export; Identification - Meat; Identification - Poultry,,35,3512,N / A,36.04973776082,-94.178023717449,Washington County,05143
3844,M2226,Coursey's Smoked Meats,,152 Coursey's Drive ,St.Joe,AR,72675,(870) 439-2503,2013-08-21,Meat Processing,,35,3502,Very Small,35.997948537721,-92.762948053361,Searcy County,05129
6165835,P47591,Custom Craft Poultry,,4701 Asher Avenue ,Little Rock,AR,72204,(501) 406-9428,2022-03-23,Poultry Processing,,35,3514,Small,34.720134732649,-92.324240185471,Pulaski County,05119
127246,M48119+P48119,Custom Craft Poultry,,3064 East Main ,Batesville,AR,72501,(870) 569-8021,2021-09-09,Meat Processing; Poultry Processing,Batesville Cold Storage,35,3502,Small,35.79108805096,-91.621740062263,Independence County,05063
100851,V31727,Cypress Cold Storage,,11100 Louis Nelson Drive ,Maumelle,AR,72113,(501) 734-0039,2022-01-10,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3514,N / A,34.862062481633,-92.389950869787,Pulaski County,05119
6167936,V2590,"Cypress Cold Storage, LLC",,1440 Angel Dr ,Springdale,AR,72764,(479) 957-2336,2024-03-29,Certification - Export,,35,3512,N / A,36.196712211797,-94.11435637349,Washington County,05143
6167249,M1857+P1857+V1857,"Cypress Cold Storage, LLC",,1301 N. Gregory St. ,North Little Rock,AR,72113,(501) 993-6468,2023-04-06,Identification - Meat; Identification - Poultry,,35,3514,N / A,34.769367223964,-92.249059710768,Pulaski County,05119
6163437,M46139+P46139+V46139,Cypress Valley Meat Company,,5951 US Highway 64 E ,Pottsville,AR,72858,(479) 968-6330,2021-08-19,Identification - Meat; Identification - Poultry; Meat Processing; Meat Slaughter; Poultry Processing; Poultry Slaughter; Voluntary Processing - Meat; Voluntary Processing - Poultry; Voluntary Processing - Rabbit; Voluntary Slaughter - Meat; Voluntary Slaughter - Poultry; Voluntary Slaughter - Rabbit,,35,3520,Small,35.254610099483,-93.048993094381,Pope County,05115
6167939,M2595+P2595,David's Premium Beef LLC,,1600 Gregory St ,N Little Rock,AR,72114,(501) 802-3161,2025-01-10,Meat Processing; Poultry Processing,,35,3514,Very Small,34.766661252252,-92.246518569182,Pulaski County,05119
12282,M34198+P34198+V34198,Don's Cold Storage & Transportation,,801 W. Easy Street ,Rogers,AR,72757,(479) 878-5500,1977-04-11,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Poultry,,35,3512,N / A,36.349510702467,-94.126882038138,Benton County,05007
6164364,M51565,"Eldridge Tamales, LLC",,19571 Hwy 33 South ,Augusta,AR,72006,(501) 607-2275,2021-07-12,Meat Processing,,35,3502,Very Small,35.076838130168,-91.363356768056,Woodruff County,05147
3897,M10647+P10647,"Famous Chili, Inc.",,1421 North 7th Street ,Fort Smith,AR,72901,,2021-07-28,Meat Processing; Poultry Processing,,35,3505,Very Small,35.398027061204,-94.413556956879,Sebastian County,05131
100790,V19275,"Frez-N-Stor, Inc.",,311 West Sunset ,Springdale,AR,72764,(479) 750-3298,2019-04-04,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Egg Products; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3512,N / A,36.173754304728,-94.134250401582,Washington County,05143
3998,M10620+V10620,"G.E. Hawthorn Meat Company, Inc.",,164 Guy Hawthorn Lane ,Hot Springs,AR,71901,(501) 762-2661,2022-03-24,Meat Processing; Meat Slaughter,,35,3520,Very Small,34.497024228096,-92.999466272536,Garland County,05051
3906,P13584+V13584,George's Further Processing,,701 Porter Avenue ,Springdale,AR,72764,(479) 927-7500,2021-12-09,Certification - Export; Poultry Processing,"George's Processing, Inc.",35,3512,Large,36.1704307963,-94.135187330719,Washington County,05143
3851,P208+V208,"George's Processing, Inc.",,1306 N Kansas St ,Springdale,AR,72764,(479) 927-7000,2021-10-27,Certification - Export; Poultry Processing; Poultry Slaughter,,35,3512,Large,36.198192162532,-94.13965153235,Washington County,05143
3830,M21B+P748,Gerber Products Company,,4301 Harriet Lane ,Fort Smith,AR,72904,(479) 782-8671,2015-04-01,Meat Processing; Poultry Processing,,35,3505,Large,35.430519466955,-94.381477569408,Sebastian County,05131
126861,V46922,Global Refrigerated Services,,245 Quality Drive ,Clinton,AR,72031,(501) 722-6010,2020-07-17,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3502,N / A,35.568472517453,-92.457917543341,Van Buren County,05141
4004,M10650+P10650+V10650,Key's Family Butcher Shop,,2900 Oliver Springs Rd ,Van Buren,AR,72956,(479) 474-1645,2021-07-13,Identification - Meat; Identification - Poultry; Meat Processing; Meat Slaughter; Poultry Processing; Poultry Slaughter; Voluntary Processing - Meat; Voluntary Processing - Rabbit; Voluntary Slaughter - Meat; Voluntary Slaughter - Rabbit,,35,3505,Very Small,35.478787620309,-94.335580866009,Crawford County,05033
3838,M500A+P501+V500A,"Land O'Frost, Inc",047031190,911 Hastings Avenue ,Searcy,AR,72143,(501) 268-2473,2022-01-10,Certification - Export; Meat Processing; Poultry Processing,,35,3502,Small,35.238526612785,-91.728285454947,White County,05145
6166983,M1339,Little Man Jerky,,204 E Main St ,Letona,AR,72085,(501) 454-3976,2023-03-03,Meat Processing,,35,3502,Very Small,35.361425930337,-91.827269183391,White County,05145
